,publishedAt,extractedAt,id,title,views,likes,comments
35,2021-09-09T16:17:55Z,2022-02-13 18:41:04.810702,aLVsIgiG5YY,НЕ УСТРАИВАЙСЯ НА РАБОТУ ЧЕРЕЗ АВИТО! (пока не посмотришь это видео),427039,26502,720
36,2021-11-11T16:18:36Z,2022-02-13 18:41:05.030491,dO50vp50AGU,"Что, если ОТКРЫТЬ СПАМ ПИСЬМА?!",203200,15006,519
37,2020-04-20T16:26:12Z,2022-02-13 18:41:05.241355,bqyuO5f26bg,КАК Я НАНЯЛ ЧАСТНОГО ДЕТЕКТИВА НА СЕБЯ?!,759183,45129,1869
38,2020-04-20T16:26:12Z,2022-02-13 18:41:06.036915,bqyuO5f26bg,КАК Я НАНЯЛ ЧАСТНОГО ДЕТЕКТИВА НА СЕБЯ?!,759183,45129,1869
39,2021-11-03T16:43:21Z,2022-02-13 18:41:06.289257,AHF6F0MQcb0,Образование не нужно (моя история в мгту им баумана),491287,43203,3466
40,2022-01-09T16:26:58Z,2022-02-13 18:41:06.629609,OhAIsKjJDVg,NFT — Скам или искусство?,339311,22598,984
41,2021-12-30T16:15:41Z,2022-02-13 18:41:06.970294,uYIamE5nFdQ,Как заработать на своем теле?,175277,13214,506
42,2022-01-16T16:29:17Z,2022-02-13 18:41:07.197130,YKEFnyuzZEY,"Что будет, если ОТКЛЮЧАТ ИНТЕРНЕТ?!",356070,26556,1467
43,2021-01-17T16:00:04Z,2022-02-13 18:41:07.420028,k4ElwImueb0,Сколько зарабатывает КОНСУЛЬТАНТ ФИНАНСОВОЙ ПИРАМИДЫ?!,375008,18855,758
44,2021-05-20T16:24:01Z,2022-02-13 18:41:07.749933,CXniyf-pLyA,КУПИЛ УКРАДЕННУЮ БАНКОВСКУЮ КАРТУ НА ТЕНЕВОМ РЫНКЕ. Зачем?,385284,27307,911
45,2021-08-12T16:03:03Z,2022-02-13 18:41:08.019154,hXHUxNRUxsg,ЕЛЕНА 100 МЕТРОВ ОТ ВАС ХОЧЕТ...,753417,47718,1642
46,2020-12-20T16:00:44Z,2022-02-13 18:41:08.227477,M9M9zNuejyk,"ВЗЛОМ ВК, ИНСТАГРАМ, ПОЧТЫ ЗА 5000 РУБЛЕЙ! — Фейк или реальность?",321081,24370,1443
47,2021-05-24T16:33:48Z,2022-02-13 18:41:08.445931,jXP-5k8JFOs,Что такое ЧЕРНЫЙ АРБИТРАЖ?,392840,25345,909
48,2021-11-17T16:27:47Z,2022-02-13 18:41:09.241304,sjn-CQ_vcIg,ФЕТИШИЗМ — Как зарабатывают на грязном белье?,184226,14626,604
49,2021-07-11T12:30:32Z,2022-02-13 18:41:09.462854,t9KzAZoO7zY,ЧЕРНЫЙ РЫНОК ВАКЦИНАЦИИ,327715,20816,1134
50,2021-08-19T15:56:43Z,2022-02-13 18:41:09.755294,100iUCYPyuQ,Я Устроился в Вебкам,599964,33972,1118
51,2021-10-10T16:22:56Z,2022-02-13 18:41:10.044552,xxHj4WbX590,"Прощай, Интернет!",305701,24728,998
52,2021-11-07T16:28:32Z,2022-02-13 18:41:10.357132,zQAETq_Sglc,Купил ВК АККАУНТЫ за 500 и 5 000 РУБЛЕЙ!,250585,16647,524
53,2021-05-31T16:35:20Z,2022-02-13 18:41:10.593122,f02UhFZm9l0,ПОКУПКА КАРТ С БАЛАНСОМ — Фейк или реальность?,600517,32482,870
54,2021-12-16T16:18:02Z,2022-02-13 18:41:10.875145,HRHrxKrl9VE,"ТОР БРАУЗЕР, ПРОЩАЙ!",396662,24830,1934
55,2021-04-29T16:00:50Z,2022-02-13 18:41:11.334971,VaTHcaTp0dI,Инвестировал 100 000 РУБЛЕЙ В АКЦИИ… сколько я заработал?..,528733,31305,1171
56,2020-02-25T15:12:07Z,2022-02-13 18:41:11.720705,c6r6cY-kC6s,Продаю автограф ИЛОНА МАСКА на АВИТО!,1515684,82554,2899
57,2020-06-16T16:41:38Z,2022-02-13 18:41:12.076920,gYeSB46mctc,ПОКУПКА ТЕХНИКИ ЗА 50% ОТ СТОИМОСТИ — Фейк или реальность?,708061,36722,1173
58,2020-06-16T16:41:38Z,2022-02-13 18:41:13.131140,gYeSB46mctc,ПОКУПКА ТЕХНИКИ ЗА 50% ОТ СТОИМОСТИ — Фейк или реальность?,708061,36722,1173
59,2021-09-19T16:30:00Z,2022-02-13 18:41:13.345448,InglS-TbduU,Как получить ГАЛОЧКУ во всех социальных сетях?,409628,27677,767
60,2021-06-21T16:27:37Z,2022-02-13 18:41:13.669035,MhJ2R6C5ulA,КУПИЛ ЛИЧНОСТЬ В ДАРКНЕТЕ!,285970,20297,799
61,2021-01-24T15:58:13Z,2022-02-13 18:41:14.027562,FUWRRDxQKg8,Я — ДЕВУШКА В ИНТЕРНЕТЕ #5 Зарабатываю на ОнлиФанс! (OnlyFans),506674,31537,930
62,2019-12-13T15:24:36Z,2022-02-13 18:41:14.414281,sa5yqXUFlNc,КАК ЗАРАБОТАТЬ 100 000 РУБЛЕЙ?! — НАЧАЛО. Интернет-эксперимент.,534047,55091,1660
63,2021-08-15T16:44:23Z,2022-02-13 18:41:14.768586,kqSvNLJwLBI,КУПИЛ ТВОЙ АККАУНТ НА ГОСУСЛУГАХ — Зачем?,276161,20082,909
64,2020-10-15T14:51:14Z,2022-02-13 18:41:15.097380,SnLzJ7YaXQU,"КАК ЗАРАБОТАТЬ 100 000 РУБЛЕЙ НА ИГРОВЫХ СЕРВЕРАХ ЗА НЕДЕЛЮ?! GTA 5 RP, ММОРПГ, САМП",301817,18937,933
65,2021-12-09T15:33:32Z,2022-02-13 18:41:15.315354,DEEFa8MUQYI,Я ВЫУЧИЛ АНГЛИЙСКИЙ ЗА 1 ДЕНЬ,190713,15326,772
66,2021-05-11T16:38:35Z,2022-02-13 18:41:15.550101,UeMhlDcuHqc,"КАК Я ЗАРАБОТАЛ НА ФЕЙКОВОЙ КВАРТИРЕ? — AIRBNB, AVITO, ЦИАН и др.",327653,19061,552
67,2020-09-24T16:00:06Z,2022-02-13 18:41:15.769138,pOQQ9of63BE,"Я — ДЕВУШКА В ИНТЕРНЕТЕ! #4 Вступил в команду мошенников, пикап в Badoo и Mamba!",373780,20408,678
68,2020-08-12T16:29:11Z,2022-02-13 18:41:16.545850,5tSeIAJ7mlo,КАК Я ОБМАНУЛ ПРОДАВЦА НА АВИТО?!,449965,26358,1069
69,2021-08-22T16:35:54Z,2022-02-13 18:41:16.727843,qfrqRVj_egs,Я — ДЕВУШКА В ИНТЕРНЕТЕ! #6 feat. Стримеры,359644,25558,1410
70,2019-11-21T17:14:27Z,2022-02-13 18:41:16.948109,FfKf1i5HjXc,КАК РАЗРУШИТЬ ЧУЖИЕ ОТНОШЕНИЯ ЧЕРЕЗ ИНТЕРНЕТ?!,899368,72802,1575
71,2019-12-09T15:52:32Z,2022-02-13 18:41:17.295326,StiOU9GKZUw,Продаю TESLA CYBERTRUCK на АВИТО!,1033779,50379,1411
72,2021-08-26T16:22:39Z,2022-02-13 18:41:17.525331,fdkczTpXa4k,ДЕВУШКА НА ВЕЧЕР ВКОНТАКТЕ,397944,20993,638
73,2021-08-08T16:27:58Z,2022-02-13 18:41:17.779189,-OE0Z86QDg0,СКОЛЬКО Я ЗАРАБОТАЛ НА АКЦИЯХ ЗА ГОД?!,244769,17330,1376
74,2020-03-31T15:01:43Z,2022-02-13 18:41:18.146536,i0Nf6TU-wIQ,КАК Я ОБМАНУЛ БУРЖУЯ В ИНТЕРНЕТЕ?,575608,31570,1322
75,2020-08-09T16:28:37Z,2022-02-13 18:41:18.362328,QsrvIJRMQTE,ПРОДАЮ НЕСУЩЕСТВУЮЩИЙ БИЗНЕС НА АВИТО!,535548,39483,980
